,Region,Country,Diabetes Prevalence 2000,Diabetes Prevalence 2011,Diabetes Prevalence 2021,Diabetes Prevalence 2030,Diabetes Prevalence 2045,pop,iso_alpha
0,Middle East and North Africa,Afghanistan,,7.6,10.9,11.0,11.3,31889923.0,AFG
1,Europe,Albania,,2.8,10.2,10.2,10.9,3600523.0,ALB
2,Middle East and North Africa,Algeria,,7.0,7.1,7.6,8.1,33333216.0,DZA
3,Western Pacific,American Samoa,,,20.3,21.7,23.1,,ASM
4,Europe,Andorra,,5.4,9.7,11.0,11.9,,AND
5,Africa,Angola,,2.9,4.6,4.9,5.0,12420476.0,AGO
6,North America and Caribbean,Anguilla,,2.9,,,,,AIA
7,North America and Caribbean,Antigua and Barbuda,,12.5,11.7,13.2,14.1,,ATG
8,South and Central America,Argentina,,5.5,5.4,6.1,6.4,40301927.0,ARG
9,Europe,Armenia,,8.5,5.6,6.4,6.8,,ARM
10,North America and Caribbean,Aruba,12.1,12.4,4.3,4.6,4.6,,ABW
11,Western Pacific,Australia,0.0,6.6,6.4,7.4,8.0,20434176.0,AUS
12,Europe,Austria,,6.6,4.6,5.3,5.8,8199783.0,AUT
13,Europe,Azerbaijan,,2.8,5.6,6.4,6.8,,AZE
14,North America and Caribbean,Bahamas,,12.1,8.8,10.0,10.6,,BHS
15,Middle East and North Africa,Bahrain,14.8,19.5,11.3,11.9,12.6,708573.0,BHR
16,South-East Asia,Bangladesh,,10.5,14.2,15.0,15.3,150448339.0,BGD
17,North America and Caribbean,Barbados,13.2,12.4,14.0,16.1,17.3,,BRB
18,Europe,Belarus,,8.0,5.6,6.4,6.8,,BLR
19,Europe,Belgium,,4.8,3.6,4.1,4.4,10392226.0,BEL
20,North America and Caribbean,Belize,,17.0,14.5,15.7,16.4,,BLZ
21,Africa,Benin,,2.0,1.1,1.2,1.2,8078314.0,BEN
22,North America and Caribbean,Bermuda,12.1,12.0,13.0,14.1,14.8,,BMU
23,South-East Asia,Bhutan,,5.7,10.4,11.2,11.6,,BTN
24,South and Central America,Bolivia (Plurinational State of),,6.6,5.5,6.1,6.4,9119152.0,BOL
25,Europe,Bosnia and Herzegovina,,7.5,9.1,10.2,10.9,4552198.0,BIH
26,Africa,Botswana,,10.8,5.2,5.9,6.3,1639131.0,BWA
27,South and Central America,Brazil,,10.1,8.8,10.2,10.9,190010647.0,BRA
28,North America and Caribbean,British Virgin Islands,12.1,8.6,8.7,14.1,14.8,,VGB
